Initial_Aerobic_Biomass,Vmax_Multiplier,Mortality_Multiplier,Min_O2,Max_Anoxic_Frac,Peak_Specific_Growth_day,Avg_Specific_Growth_day,Peak_Total_Biomass,Lowest_Monod_Factor,Lowest_O2_Monod_Factor,Lowest_DOC_Monod_Factor,Max_O2_Limitation_Frac
1.7555555555555558,167.3333282470703,1.0,0.005046899430453777,56.25,328.122802734375,326.44378662109375,93.86868286132812,0.010658800601959229,0.024613389745354652,0.08837678283452988,100.0
1.7555555555555558,222.77777099609375,1.0,0.0,87.5,436.6542053222656,433.67864990234375,208.69448852539062,0.0,0.0,0.08837415277957916,100.0
1.7555555555555558,278.22222900390625,1.0,0.0,100.0,545.0951538085938,540.4668579101562,418.3406982421875,0.0,0.0,0.08837151527404785,100.0
1.7555555555555558,333.6666564941406,1.0,0.0,100.0,653.4503784179688,646.9067993164062,604.7030639648438,0.0,0.0,0.08836887031793594,100.0
1.7555555555555558,389.1111145019531,1.0,0.0,100.0,761.7412719726562,753.03857421875,754.5498046875,0.0,0.0,0.08836621046066284,100.0
1.7555555555555558,444.5555419921875,1.0,0.0,100.0,869.9476318359375,858.8694458007812,894.404296875,0.0,0.0,0.08836354315280914,100.0
1.7555555555555558,500.0,1.0,0.0,100.0,978.0701904296875,964.3677978515625,1012.6610107421875,0.0,0.0,0.08836088329553604,100.0
3.4111111111111114,1.0,1.0,10.995195388793945,0.0,1.9642682075500488,1.9593619108200073,12.44050121307373,0.012904876843094826,0.9821352362632751,0.1052657887339592,68.75
3.4111111111111114,56.44444274902344,1.0,8.805703163146973,0.0,110.78506469726562,110.57133483886719,25.561344146728516,0.012904813513159752,0.9777918457984924,0.10526126623153687,93.75
3.4111111111111114,111.88888549804688,1.0,1.2454900741577148,0.0,219.4464111328125,218.56663513183594,58.66777420043945,0.012904750183224678,0.861638605594635,0.10525673627853394,100.0
3.4111111111111114,167.3333282470703,1.0,0.0,75.0,327.9835510253906,325.9483337402344,136.71595764160156,0.0,0.0,0.1052522212266922,100.0
3.4111111111111114,222.77777099609375,1.0,0.0,93.75,436.40313720703125,432.7921447753906,304.6988220214844,0.0,0.0,0.10524769127368927,100.0
3.4111111111111114,278.22222900390625,1.0,0.0,100.0,544.7019653320312,539.110595703125,518.7163696289062,0.0,0.0,0.10524314641952515,100.0
3.4111111111111114,333.6666564941406,1.0,0.0,100.0,652.882568359375,645.008056640625,660.0669555664062,0.0,0.0,0.10523859411478043,100.0
3.4111111111111114,389.1111145019531,1.0,0.0,100.0,760.9710693359375,750.5903930664062,790.1158447265625,0.0,0.0,0.1052340418100357,100.0
3.4111111111111114,444.5555419921875,1.0,0.0,100.0,868.9458618164062,855.9025268554688,920.4059448242188,0.0,0.0,0.10522948950529099,100.0
3.4111111111111114,500.0,1.0,0.0,100.0,976.8067626953125,961.4188232421875,1031.2547607421875,0.0,0.0,0.10522489994764328,100.0
5.066666666666666,1.0,1.0,10.991167068481445,0.0,1.9642664194107056,1.9616315364837646,14.096056938171387,0.015140683390200138,0.9821287989616394,0.12153318524360657,75.0
5.066666666666666,56.44444274902344,1.0,8.01578140258789,0.0,110.78022766113281,110.54412078857422,30.588274002075195,0.015140583738684654,0.9756566286087036,0.12152642011642456,100.0
5.066666666666666,111.88888549804688,1.0,0.03893287852406502,37.5,219.4178009033203,218.41795349121094,73.20893859863281,0.01514048408716917,0.16294483840465546,0.12151968479156494,100.0
5.066666666666666,167.3333282470703,1.0,0.0,81.25,327.9140625,325.5626220703125,174.5247344970703,0.0,0.0,0.12151292711496353,100.0
5.066666666666666,222.77777099609375,1.0,0.0,100.0,436.2600402832031,432.0881042480469,378.5877990722656,0.0,0.0,0.12150618433952332,100.0
5.066666666666666,278.22222900390625,1.0,0.0,100.0,544.452880859375,538.0253295898438,563.38671875,0.0,0.0,0.1214994341135025,100.0
5.066666666666666,333.6666564941406,1.0,0.0,100.0,652.4976196289062,643.8447875976562,684.5748291015625,0.0,0.0,0.1214926540851593,100.0
5.066666666666666,389.1111145019531,1.0,0.0,100.0,760.4446411132812,750.0274047851562,807.06591796875,0.0,0.0,0.12148591876029968,100.0
5.066666666666666,444.5555419921875,1.0,0.0,100.0,868.2589721679688,856.2247924804688,932.9393310546875,0.0,0.0,0.1214791014790535,100.0
5.066666666666666,500.0,1.0,0.0,100.0,975.941650390625,962.3192749023438,1040.15234375,0.0,0.0,0.1214723214507103,100.0
6.722222222222222,1.0,1.0,10.987115859985352,0.0,1.9642664194107056,1.9630125761032104,15.751608848571777,0.01736639253795147,0.9821223020553589,0.13721963763237,87.5
6.722222222222222,56.44444274902344,1.0,7.278961181640625,0.0,110.7767562866211,110.51583862304688,35.46983337402344,0.01736624725162983,0.9732583165168762,0.1372104287147522,100.0
6.722222222222222,111.88888549804688,1.0,0.012795805931091309,50.0,219.40228271484375,218.26968383789062,86.97547149658203,0.017366107553243637,0.060131851583719254,0.1372012048959732,100.0
6.722222222222222,167.3333282470703,1.0,0.0,81.25,327.8656005859375,325.2139587402344,208.98182678222656,0.0,0.0,0.13719196617603302,100.0
6.722222222222222,222.77777099609375,1.0,0.0,100.0,436.1616516113281,431.4418029785156,429.7427062988281,0.0,0.0,0.13718277215957642,100.0
6.722222222222222,278.22222900390625,1.0,0.0,100.0,544.2900390625,537.8486328125,588.8800659179688,0.0,0.0,0.13717350363731384,100.0
6.722222222222222,333.6666564941406,1.0,0.0,100.0,652.2508544921875,644.4188842773438,698.9412231445312,0.0,0.0,0.13716427981853485,100.0
6.722222222222222,389.1111145019531,1.0,0.0,100.0,760.0691528320312,750.8767700195312,817.41015625,0.0,0.0,0.13715505599975586,100.0
6.722222222222222,444.5555419921875,1.0,0.0,100.0,867.7601928710938,857.182373046875,940.864013671875,0.0,0.0,0.1371457576751709,100.0
6.722222222222222,500.0,1.0,0.0,100.0,975.307861328125,963.3071899414062,1045.635986328125,0.0,0.0,0.1371365189552307,100.0
8.377777777777778,1.0,1.0,10.983125686645508,0.0,1.9642640352249146,1.9636482000350952,17.407169342041016,0.019582070410251617,0.9821159243583679,0.15235581994056702,87.5
8.377777777777778,56.44444274902344,1.0,6.556161880493164,0.0,110.77406311035156,110.49860382080078,40.22719192504883,0.019581880420446396,0.970397412776947,0.15234382450580597,100.0
8.377777777777778,111.88888549804688,1.0,0.006938968785107136,56.25,219.39076232910156,218.1349639892578,100.0158920288086,0.019581684842705727,0.03353147581219673,0.15233194828033447,100.0
8.377777777777778,167.3333282470703,1.0,0.0,87.5,327.819091796875,324.8658447265625,240.46803283691406,0.0,0.0,0.1523200273513794,100.0
8.377777777777778,222.77777099609375,1.0,0.0,100.0,436.0758056640625,431.55291748046875,465.3995361328125,0.0,0.0,0.15230810642242432,100.0
8.377777777777778,278.22222900390625,1.0,0.0,100.0,544.1544799804688,538.4065551757812,605.6089477539062,0.0,0.0,0.15229617059230804,100.0
8.377777777777778,333.6666564941406,1.0,0.0,100.0,652.0548706054688,645.1040649414062,708.6021118164062,0.0,0.0,0.15228426456451416,100.0
8.377777777777778,389.1111145019531,1.0,0.0,100.0,759.8057250976562,751.6422729492188,824.5992431640625,0.0,0.0,0.1522723138332367,100.0
8.377777777777778,444.5555419921875,1.0,0.0,100.0,867.4036254882812,857.98828125,945.9393920898438,0.0,0.0,0.15226039290428162,100.0
8.377777777777778,500.0,1.0,0.0,100.0,974.8453369140625,964.169677734375,1049.742431640625,0.0,0.0,0.15224844217300415,100.0
10.033333333333333,1.0,1.0,10.979074478149414,0.0,1.9642664194107056,1.963995099067688,19.06264877319336,0.021787788718938828,0.9821094274520874,0.16696996986865997,93.75
10.033333333333333,56.44444274902344,1.0,5.843152046203613,0.0,110.7719497680664,110.46520233154297,44.901512145996094,0.02178754098713398,0.9669046998023987,0.16695520281791687,100.0
10.033333333333333,111.88888549804688,1.0,0.0030939066782593727,56.25,219.38211059570312,217.99954223632812,112.52432250976562,0.015233871527016163,0.015233871527016163,0.16694040596485138,100.0
10.033333333333333,167.3333282470703,1.0,0.0,87.5,327.7977294921875,324.8221740722656,268.8216247558594,0.0,0.0,0.16692566871643066,100.0
