Initial_POC_Density,Ext_O2,Ext_NO3,Mort_Amp,Radius_mm,N2O_Net_Domain_SMS_mmol_s,N2O_Net_Core_SMS_mmol_s,N2_Net_Domain_SMS_mmol_s,Frac_Anoxic_Core,Total_Bio_Core_mmol,Bio_Growth_Factor,Dominant_Bug,Bio_Core_aer_mmol,Bio_Core_nar_mmol,Bio_Core_nai_mmol,Bio_Core_nao_mmol,Bio_Core_nir_mmol,Bio_Core_nio_mmol,Bio_Core_nos_mmol,Bio_Core_aoa_mmol,Bio_Core_nob_mmol,Bio_Core_aox_mmol,Bio_Core_zoo_mmol,GrowthRate_aer_perday,GrowthRate_nar_perday,GrowthRate_nai_perday,GrowthRate_nao_perday,GrowthRate_nir_perday,GrowthRate_nio_perday,GrowthRate_nos_perday,GrowthRate_aoa_perday,GrowthRate_nob_perday,GrowthRate_aox_perday,GrowthRate_zoo_perday,Elapsed_s
850000.0,2.846153736114502,10.0,1.0,0.5,3.667768345982925e-12,3.667768345982925e-12,7.419450470669275e-12,0.5762712359428406,2.532978626845761e-08,1.8438806533813477,aer,1.4324255559472476e-08,1.1358014528894955e-09,1.559284146246398e-09,1.6004809699765588e-09,8.298156606301177e-10,8.403133744394609e-10,9.259235045355751e-10,1.8283363711901757e-09,1.427753915095309e-09,8.578204258036237e-10,0.0,75.17202758789062,45.16585159301758,87.49977111816406,92.56587982177734,3.88474178314209,5.599915981292725,23.62722396850586,77.26874542236328,64.4042739868164,7.620882034301758,0.0,2754.2986294580624
850000.0,2.846153736114502,10.0,1.0,0.5384615659713745,4.1698111977184205e-12,4.1698111977184205e-12,8.707120094375576e-12,0.6440677642822266,2.8786681482984022e-08,1.806855320930481,aer,1.6101621369557506e-08,1.3168288681697504e-09,1.8078740726679143e-09,1.859339571197438e-09,9.62220636502309e-10,9.746515816644319e-10,1.08058706427272e-09,2.0580592785535146e-09,1.631388135692191e-09,9.94112125951574e-10,0.0,69.9108657836914,45.14430618286133,87.4580307006836,92.73641967773438,4.033340930938721,5.814123630523682,24.72507095336914,72.72819519042969,61.0490608215332,7.561032295227051,0.0,2645.3272442915477
850000.0,2.846153736114502,10.0,1.0,0.5769230723381042,4.696733453546376e-12,4.696733453546376e-12,1.0107711542750586e-11,0.6723163723945618,3.241374102458394e-08,1.7722891569137573,aer,1.7935866125640132e-08,1.5116321527841592e-09,2.0748087692368244e-09,2.1374932934747903e-09,1.1045844239276903e-09,1.1189313919857113e-09,1.247743797172518e-09,2.2975321645191116e-09,1.844769337289165e-09,1.1403787913977226e-09,0.0,65.1861801147461,45.12196731567383,87.41474914550781,92.88471984863281,4.1999616622924805,6.054309368133545,25.75409698486328,68.60176086425781,57.70810317993164,7.512084484100342,0.0,2571.3901382922195
850000.0,2.846153736114502,10.0,1.0,0.6153846383094788,5.2509017099688915e-12,5.2509017099688915e-12,1.1628663310059295e-11,0.6723164319992065,3.622258049063021e-08,1.7407137155532837,aer,1.983858055609744e-08,1.7195883605936046e-09,2.3600617016228398e-09,2.4350590432931085e-09,1.2571617080681108e-09,1.273662841860812e-09,1.427322815494847e-09,2.5473547715648692e-09,2.0670605227479655e-09,1.2967273921304923e-09,0.0,61.031394958496094,45.098846435546875,87.36994934082031,93.01314544677734,4.412941932678223,6.361324787139893,26.712080001831055,64.78861236572266,54.34132385253906,7.491827964782715,0.0,2488.1352597908117
850000.0,2.846153736114502,10.0,1.0,0.6538461446762085,5.827512517680988e-12,5.827512517680988e-12,1.3273040652683754e-11,0.694915235042572,4.020267496684937e-08,1.7113744020462036,aer,2.180192382184032e-08,1.9411443563654984e-09,2.6635826877452473e-09,2.7518574086116132e-09,1.4199126319169864e-09,1.4388449320890118e-09,1.6196005647728384e-09,2.8057227652311667e-09,2.29701901943713e-09,1.4630675559956785e-09,0.0,57.254268646240234,45.075157165527344,87.32406616210938,93.12881469726562,4.625280857086182,6.66741418838501,27.620798110961914,61.29850769042969,51.26912307739258,7.502471923828125,0.0,2424.649667208083
850000.0,2.846153736114502,10.0,1.0,0.692307710647583,6.424204050670124e-12,6.424204050670124e-12,1.5044507306605226e-11,0.7231638431549072,4.435517553247337e-08,1.6841752529144287,aer,2.3826647321811834e-08,2.175976954177372e-09,2.9855837802017504e-09,3.088004740803285e-09,1.5929175756212999e-09,1.6144283687680172e-09,1.8246755217887767e-09,3.072585963437291e-09,2.5348751986342677e-09,1.6394866575453193e-09,0.0,53.80809783935547,45.05098342895508,87.27722930908203,93.2342300415039,4.812748908996582,6.937653064727783,28.48653793334961,58.04350280761719,48.49447250366211,7.546931743621826,0.0,2364.374558582902
850000.0,2.846153736114502,10.0,1.0,0.7307692170143127,7.045520417081619e-12,7.045520417081619e-12,1.6935558858066635e-11,0.7344632744789124,4.868969583071703e-08,1.6592729091644287,aer,2.5921035984310947e-08,2.423944378548981e-09,3.325771880113848e-09,3.443575868899984e-09,1.7761291326578998e-09,1.8006666158143503e-09,2.0424504310057046e-09,3.348666455238458e-09,2.7813626957140514e-09,1.8260923884128033e-09,0.0,50.676395416259766,45.0264892578125,87.22977447509766,93.32925415039062,5.026864528656006,7.246303558349609,29.297609329223633,55.156394958496094,45.87055206298828,7.580138206481934,0.0,2305.153027166147
850000.0,2.846153736114502,10.0,1.0,0.7692307829856873,7.683054713270021e-12,7.683054713270021e-12,1.8956204661524367e-11,0.7457627058029175,5.3203269345658555e-08,1.636312484741211,aer,2.8082288494601926e-08,2.6855506707335053e-09,3.683988003544414e-09,3.818458882420828e-09,1.9699508690962375e-09,1.997508825013483e-09,2.2731119209140616e-09,3.63317487206416e-09,3.0364404324245697e-09,2.0227957087115556e-09,0.0,47.83287048339844,45.00199890136719,87.18232727050781,93.41665649414062,5.199923038482666,7.495770454406738,30.06955909729004,52.389644622802734,43.59113311767578,7.644142150878906,0.0,2263.0601475411095
850000.0,2.846153736114502,10.0,1.0,0.807692289352417,8.341457732874424e-12,8.341457732874424e-12,2.1097103231060288e-11,0.7740113139152527,5.789863877225798e-08,1.6151679754257202,aer,3.031269102393708e-08,2.9601567863579703e-09,4.060711322750876e-09,4.212802995340326e-09,2.1740542699433263e-09,2.204834759211849e-09,2.5167405937054355e-09,3.925916924885087e-09,3.300928641536416e-09,2.2297961255191012e-09,0.0,45.2215690612793,44.9770393371582,87.13397979736328,93.49781799316406,5.383470058441162,7.7603559494018555,30.808298110961914,49.932804107666016,41.37051010131836,7.6880202293396,0.0,2208.7073942921124
850000.0,2.846153736114502,10.0,1.0,0.8461538553237915,9.02203138586355e-12,9.02203138586355e-12,2.337394340579113e-11,0.7740113139152527,6.278460062958402e-08,1.595863699913025,aer,3.261884984340213e-08,3.2487741385978097e-09,4.455623869858982e-09,4.626454330747265e-09,2.388497843952564e-09,2.4229473982728678e-09,2.7732613983033616e-09,4.22762891361117e-09,3.575510332254339e-09,2.4470523385389242e-09,0.0,42.90407180786133,44.95161437988281,87.08472442626953,93.57256317138672,5.593206405639648,8.06269359588623,31.513683319091797,47.49107360839844,39.422447204589844,7.748128414154053,0.0,2162.695695417002
